time_s,displacement_m,velocity_m_s,energy_J
2.86,0.0220396572637,-0.0375198927228,0.00167536415957
2.88,0.0213015144055,-0.0363008056141,0.00156638327605
2.9,0.0205873722686,-0.0351196350464,0.00146437417674
2.92,0.0198964835606,-0.0339752818695,0.00136890000521
2.94,0.0192281226923,-0.0328666748344,0.00127955056187
2.96,0.0185815852245,-0.0317927700951,0.00119594073407
2.98,0.0179561873253,-0.0307525507066,0.001117709014
3,0.0173512652367,-0.02974502612,0.00104451610007
3.02,0.0167661747519,-0.0287692316765,0.000976043577248
3.04,0.0162002907027,-0.0278242280995,0.000911992672371
3.06,0.0156530064569,-0.0269091009876,0.000852083080259
3.08,0.0151237334256,-0.0260229603077,0.000796051857047
3.1,0.0146119005813,-0.0251649398901,0.000743652377033
3.12,0.0141169539854,-0.0243341969251,0.000694653349647
3.14,0.0136383563259,-0.0235299114634,0.000648837893285
3.16,0.0131755864656,-0.0227512859188,0.000606002662904
3.18,0.0127281389993,-0.0219975445748,0.00056595702843
3.2,0.0122955238215,-0.0212679330966,0.000528522301191
3.22,0.0118772657038,-0.0205617180463,0.000493531005703
3.24,0.0114729038813,-0.019878186404,0.000460826194298
3.26,0.0110819916497,-0.0192166450947,0.000430260802196
3.28,0.0107040959702,-0.0185764205198,0.000401697040743
3.3,0.0103387970854,-0.0179568580956,0.000375005826678
3.32,0.00998568814291,-0.0173573217981,0.000350066245377
3.34,0.00964437482928,-0.0167771937134,0.000326765046144
3.36,0.00931447501176,-0.0162158735956,0.000304996167723
3.38,0.0089956183895,-0.0156727784312,0.000284660292296
3.4,0.00868744615319,-0.0151473420107,0.000265664426324
3.42,0.00838961065317,-0.0146390145071,0.000247921506693
3.44,0.00810177507598,-0.0141472620616,0.000231350030683
3.46,0.00782361312901,-0.013671566377,0.000215873708384
3.48,0.00755480873335,-0.0132114243176,0.000201421136245
3.5,0.00729505572444,-0.0127663475178,0.000187925490517
3.52,0.00704405756056,-0.0123358619966,0.000175324239432
3.54,0.0068015270389,-0.011919507781,0.000163558872993
3.56,0.00656718601913,-0.011516838536,0.000152574649352
3.58,0.00634076515426,-0.0111274212021,0.000142320356787
3.6,0.00612200362869,-0.0107508356406,0.000132748090345
3.62,0.0059106489033,-0.0103866742864,0.000123813042282
3.64,0.00570645646738,-0.0100345418074,0.00011547330547
3.66,0.00550918959729,-0.00969405477215,0.000107689689
3.68,0.00531861912174,-0.00936484132441,0.00010042554524
3.7,0.00513452319349,-0.00904654086472,9.36466076574e-05
3.72,0.00495668706729,-0.00873880373948,8.73208387647e-05
3.74,0.00478490288406,-0.00844129093697,8.1418287561e-05
3.76,0.004618969461,-0.00815367379032,7.59109559028e-05
3.78,0.00445869208766,-0.00787563368754,7.07726732552e-05
3.8,0.00430388232759,-0.0076068617883,6.59789793126e-05
3.82,0.00415435782578,-0.00734705874745,6.15070140086e-05
3.84,0.00400994212142,-0.00709593444529,5.73354144603e-05
3.86,0.00387046446603,-0.00685320772426,5.34442184216e-05
3.88,0.00373575964681,-0.00661860613224,4.98147738443e-05
3.9,0.00360566781502,-0.00639186567208,4.64296541696e-05
3.92,0.00348003431939,-0.00617273055747,4.32725789958e-05
3.94,0.00335870954423,-0.00596095297489,4.03283397894e-05
3.96,0.00324154875234,-0.00575629285168,3.75827303247e-05
3.98,0.00312841193244,-0.00555851762996,3.50224815594e-05
4,0.00301916365112,-0.00536740204644,3.26352006686e-05
4.02,0.00291367290908,-0.00518272791791,3.04093139777e-05
4.04,0.0028118130016,-0.00500428393237,2.83340135498e-05
4.06,0.00271346138323,-0.00483186544557,2.63992071986e-05
4.08,0.00261849953634,-0.00466527428309,2.45954717119e-05
4.1,0.00252681284374,-0.00450431854754,2.29140090835e-05
4.12,0.00243829046496,-0.00434881243101,2.13466055631e-05
4.14,0.00235282521632,-0.00419857603258,1.98855933478e-05
4.16,0.00227031345458,-0.00405343518071,1.85238147462e-05
4.18,0.00219065496408,-0.00391322126062,1.72545886606e-05
4.2,0.00211375284728,-0.0037777710462,1.60716792375e-05
4.22,0.00203951341866,-0.00364692653675,1.4969266552e-05
4.24,0.00196784610176,-0.00352053479809,1.39419191927e-05
4.26,0.00189866332947,-0.0033984478082,1.29845686299e-05
4.28,0.0018318804472,-0.00328052230712,1.20924852495e-05
4.3,0.00176741561921,-0.00316661965108,1.12612559494e-05
4.32,0.00170518973762,-0.00305660567075,1.04867631958e-05
4.34,0.00164512633436,-0.00295035053352,9.76516544732e-06
4.36,0.00158715149576,-0.00284772860968,9.09287885817e-06
4.38,0.0015311937798,-0.00274861834244,8.46656017881e-06
4.4,0.00147718413594,-0.00265290212168,7.88309077653e-06
4.42,0.00142505582736,-0.00256046616135,7.33956170388e-06
4.44,0.00137474435575,-0.00247120038038,6.83325974732e-06
4.46,0.00132618738833,-0.00238499828708,6.36165439262e-06
4.48,0.00127932468719,-0.00230175686692,5.92238564774e-06
4.5,0.00123409804087,-0.00222137647356,5.51325266759e-06
4.52,0.001190451198,-0.00214376072309,5.13220312859e-06
4.54,0.00114832980316,-0.00206881639142,4.77732330437e-06
4.56,0.00110768133464,-0.0019964533146,4.44682879691e-06
4.58,0.00106845504419,-0.00192658429228,4.13905588052e-06
4.6,0.00103060189874,-0.0018591249938,3.85245341866e-06
4.62,0.000994074523887,-0.00179399386733,3.58557531609e-06
4.64,0.00095882714922,-0.00173111205151,3.3370734716e-06
4.66,0.000924815555359,-0.00167040328991,3.10569119834e-06
4.68,0.000891997022701,-0.00161179384797,2.89025708119e-06
4.7,0.000860330281789,-0.00155521243246,2.68967924257e-06
4.72,0.000829775465268,-0.00150059011343,2.50293998979e-06
4.74,0.000800294061383,-0.00144786024846,2.3290908189e-06
4.76,0.000771848868967,-0.00139695840923,2.16724775162e-06
4.78,0.000744403953872,-0.00134782231042,2.01658698331e-06
4.8,0.000717924606803,-0.00130039174062,1.87634082165e-06
4.82,0.000692377302514,-0.00125460849553,1.7457938966e-06
4.84,0.000667729660315,-0.00121041631308,1.62427962401e-06
4.86,0.000643950405861,-0.00116776081063,1.51117690584e-06
4.88,0.000621009334175,-0.00112658942408,1.40590705149e-06
4.9,0.000598877273868,-0.00108685134887,1.30793090558e-06
4.92,0.000577526052525,-0.00104849748281,1.21674616842e-06
4.94,0.000556928463216,-0.00101148037069,1.13188489643e-06
4.96,0.000537058232093,-0.000975754150615,1.05291117054e-06
4.98,0.000517889987046,-0.000941274502004,9.79418921427e-07
5,0.000499399227387,-0.00090799859525,9.11029901118e-07
5.02,0.000481562294517,-0.000875885042925,8.47391791211e-07
5.04,0.000464356343557,-0.000844893852537,7.88176438631e-07
5.06,0.000447759315914,-0.000814986380765,7.33078210393e-07
5.08,0.000431749912739,-0.000786125289145,6.81812459418e-07
5.1,0.000416307569262,-0.000758274501156,6.34114094002e-07
5.12,0.000401412429972,-0.000731399160661,5.8973624398e-07
5.14,0.000387045324613,-0.00070546559167,5.48449017124e-07
5.16,0.000373187744972,-0.000680441259384,5.10038339731e-07
5.18,0.000359821822439,-0.000656294732476,4.74304875744e-07
5.2,0.000346930306296,-0.000632995646575,4.41063019144e-07
5.22,0.000334496542742,-0.000610514668921,4.10139954697e-07
5.24,0.000322504454601,-0.000588823464149,3.81374782441e-07
5.26,0.000310938521705,-0.000567894661169,3.54617701652e-07
5.28,0.000299783761935,-0.000547701821112,3.29729250264e-07
5.3,0.000289025712885,-0.000528219406308,3.06579596018e-07
5.32,0.000278650414144,-0.000509422750257,2.85047875846e-07
5.34,0.00026864439016,-0.000491288028581,2.65021580242e-07
5.36,0.000258994633683,-0.000473792230901,2.46395979584e-07
5.38,0.000249688589757,-0.000456913133637,2.29073589555e-07
5.4,0.000240714140252,-0.000440629273681,2.12963673047e-07
5.42,0.000232059588906,-0.00042491992293,1.97981776058e-07
5.44,0.000223713646877,-0.000409765063641,1.84049295289e-07
5.46,0.000215665418773,-0.000395145364598,1.71093075291e-07
5.48,0.000207904389153,-0.000381042158046,1.59045033162e-07
5.5,0.000200420409483,-0.000367437417385,1.47841808922e-07
5.52,0.000193203685531,-0.000354313735592,1.3742443982e-07
5.54,0.000186244765184,-0.000341654304344,1.27738056956e-07
5.56,0.000179534526677,-0.000329442893836,1.18731602688e-07
5.58,0.000173064167218,-0.000317663833249,1.10357567427e-07
5.6,0.000166825192001,-0.000306301991871,1.02571744485e-07
5.62,0.000160809403586,-0.000295342760835,9.53330017522e-08
5.64,0.000155008891638,-0.000284772035453,8.8603069062e-08
5.66,0.000149416023019,-0.000274576198145,8.23463401634e-08
5.68,0.000144023432206,-0.00026474210192,7.65296883135e-08
5.7,0.000138824012048,-0.000255257054411,7.11222945556e-08
5.72,0.000133810904821,-0.000246108802436,6.6095487816e-08
5.74,0.000128977493598,-0.000237285517068,6.14225960145e-08
5.76,0.000124317393909,-0.000228775779207,5.70788074326e-08
5.78,0.000119824445686,-0.000220568565626,5.30410416389e-08
5.8,0.000115492705477,-0.000212653235481,4.92878293169e-08
5.82,0.000111316438933,-0.000205019517275,4.57992003853e-08
5.84,0.000107290113548,-0.000197657496252,4.25565798425e-08
5.86,0.000103408391644,-0.000190557602211,3.95426908049e-08
5.88,9.96661236003e-05,-0.000183710597733,3.67414642468e-08
5.9,9.6058341313e-05,-0.000177107566796,3.41379549798e-08
5.92,9.25802518756e-05,-0.000170739903771,3.17182634445e-08
5.94,8.92272314795e-05,-0.000164599302791,2.94694629147e-08
5.96,8.59948195216e-05,-0.000158677747476,2.73795317412e-08
5.98,8.28787129149e-05,-0.000152967500997,2.54372902895e-08
6,7.98747605933e-05,-0.00014746109648,2.36323422472e-08
6.02,7.69789582065e-05,-0.000142151327731,2.19550200009e-08
6.04,7.41874429961e-05,-0.000137031240274,2.03963338021e-08
6.06,7.14964888485e-05,-0.00013209412269,1.89479244599e-08
6.08,6.89025015179e-05,-0.000127333498246,1.76020193186e-08
6.1,6.64020140139e-05,-0.000122743116814,1.63513912927e-08
6.12,6.39916821478e-05,-0.000118316947053,1.51893207482e-08
6.14,6.16682802333e-05,-0.000114049168865,1.41095600333e-08
6.16,5.94286969342e-05,-0.0001099341661,1.31063004767e-08
6.18,5.7269931257e-05,-0.000105966519511,1.2174141681e-08
6.2,5.5189088681e-05,-0.000102140999947,1.13080629539e-08
6.22,5.31833774225e-05,-9.84525617762e-05,1.05033967283e-08
6.24,5.12501048284e-05,-9.48963365368e-05,9.7558038339e-09
6.26,4.93866738944e-05,-9.14676267985e-05,9.06125049277e-09
6.28,4.7590579904e-05,-8.81619002352e-05,8.41598691774e-09
6.3,4.58594071843e-05,-8.49747839003e-05,7.81652740404e-09
6.32,4.41908259735e-05,-8.19020586957e-05,7.25963180974e-09
6.34,4.25825893981e-05,-7.89396540303e-05,6.7422883289e-09
6.36,4.10325305544e-05,-7.60836426606e-05,6.26169746764e-09
6.38,3.95385596919e-05,-7.33302357076e-05,5.81525713948e-09
6.4,3.80986614941e-05,-7.06757778442e-05,5.40054880222e-09
6.42,3.67108924546e-05,-6.8116742647e-05,5.01532456405e-09
6.44,3.53733783439e-05,-6.56497281079e-05,4.65749519124e-09
6.46,3.40843117645e-05,-6.32714522985e-05,4.32511895491e-09
6.48,3.28419497921e-05,-6.09787491843e-05,4.01639125834e-09
6.5,3.16446116977e-05,-5.87685645815e-05,3.72963499049e-09
6.52,3.04906767502e-05,-5.66379522539e-05,3.46329155513e-09
6.54,2.93785820951e-05,-5.45840701427e-05,3.21591252851e-09
6.56,2.83068207081e-05,-5.26041767266e-05,2.98615190174e-09
6.58,2.72739394189e-05,-5.06956275074e-05,2.77275886704e-09
6.6,2.62785370057e-05,-4.88558716162e-05,2.57457111e-09
6.62,2.53192623549e-05,-4.70824485363e-05,2.39050857248e-09
6.64,2.43948126863e-05,-4.53729849404e-05,2.21956765321e-09
6.66,2.350393184e-05,-4.37251916354e-05,2.06081581566e-09
6.68,2.26454086231e-05,-4.21368606135e-05,1.9133865746e-09
6.7,2.18180752149e-05,-4.06058622054e-05,1.77647483489e-09
6.72,2.10208056275e-05,-3.91301423316e-05,1.64933255791e-09
6.74,2.02525142213e-05,-3.77077198485e-05,1.53126473265e-09
6.76,1.95121542712e-05,-3.63366839872e-05,1.4216256302e-09
6.78,1.87987165847e-05,-3.50151918802e-05,1.31981532167e-09
6.8,1.81112281674e-05,-3.37414661748e-05,1.22527644127e-09
6.82,1.74487509362e-05,-3.25137927281e-05,1.13749117725e-09
6.84,1.68103804773e-05,-3.13305183828e-05,1.05597847465e-09
6.86,1.61952448483e-05,-3.01900488204e-05,9.80291435278e-10
6.88,1.56025034218e-05,-2.90908464883e-05,9.10014900758e-10
6.9,1.50313457708e-05,-2.80314285997e-05,8.44763206034e-10
6.92,1.44809905925e-05,-2.70103652022e-05,7.8417809126e-10
6.94,1.39506846703e-05,-2.6026277315e-05,7.27926760977e-10
6.96,1.34397018725e-05,-2.50778351293e-05,6.75700080227e-10
6.98,1.29473421864e-05,-2.4163756273e-05,6.27210897995e-10
7,1.24729307866e-05,-2.32828041349e-05,5.82192489004e-10
7.02,1.20158171355e-05,-2.24337862476e-05,5.40397105567e-10
7.04,1.15753741167e-05,-2.16155527271e-05,5.01594631731e-10
7.06,1.11509971981e-05,-2.08269947669e-05,4.65571332534e-10
7.08,1.07421036253e-05,-2.00670431839e-05,4.32128691666e-10
7.1,1.03481316428e-05,-1.93346670169e-05,4.01082331322e-10
7.12,9.96853974371e-06,-1.8628872172e-05,3.72261008444e-10
7.14,9.60280594499e-06,-1.79487001171e-05,3.4550568198e-10
7.16,9.25042708932e-06,-1.72932266213e-05,3.20668646157e-10
7.18,8.91091817114e-06,-1.66615605387e-05,2.97612725098e-10
7.2,8.58381168675e-06,-1.6052842635e-05,2.76210524479e-10
7.22,8.26865700751e-06,-1.54662444545e-05,2.56343736178e-10
7.24,7.96501977524e-06,-1.49009672281e-05,2.37902492206e-10
7.26,7.67248131908e-06,-1.43562408187e-05,2.20784764405e-10
7.28,7.39063809311e-06,-1.38313227038e-05,2.04895806715e-10
7.3,7.11910113393e-06,-1.33254969943e-05,1.90147636983e-10
7.32,6.8574955375e-06,-1.28380734871e-05,1.76458555523e-10
7.34,6.60545995461e-06,-1.23683867517e-05,1.63752697844e-10
7.36,6.36264610433e-06,-1.19157952488e-05,1.51959619104e-10
7.38,6.1287183047e-06,-1.14796804794e-05,1.41013908071e-10
7.4,5.90335302022e-06,-1.10594461645e-05,1.30854828495e-10
7.42,5.68623842536e-06,-1.06545174536e-05,1.21425985944e-10
7.44,5.47707398372e-06,-1.02643401609e-05,1.12675018316e-10
7.46,5.27557004212e-06,-9.8883800287e-06,1.04553308335e-10
7.48,5.08144743922e-06,-9.52612201638e-06,9.70157164906e-11
7.5,4.89443712803e-06,-9.17706961505e-06,9.00203329602e-11
7.52,4.71427981196e-06,-8.84074418603e-06,8.35282471724e-11
7.54,4.54072559384e-06,-8.51668432278e-06,7.75033337641e-11
7.56,4.37353363744e-06,-8.20444523549e-06,7.19120537667e-11
7.58,4.21247184113e-06,-7.90359815736e-06,6.67232699411e-11
7.6,4.05731652317e-06,-7.61372977188e-06,6.1908075258e-11
7.62,3.90785211828e-06,-7.33444166042e-06,5.74396335918e-11
7.64,3.76387088503e-06,-7.06534976944e-06,5.32930317606e-11
7.66,3.62517262369e-06,-6.80608389643e-06,4.94451421057e-11
7.68,3.49156440423e-06,-6.55628719424e-06,4.58744948644e-11
7.7,3.362860304e-06,-6.31561569288e-06,4.25611596386e-11
7.72,3.23888115486e-06,-6.08373783832e-06,3.94866353133e-11
7.74,3.11945429928e-06,-5.86033404767e-06,3.66337478257e-11
7.76,3.00441335527e-06,-5.64509628012e-06,3.39865552246e-11
7.78,2.89359798972e-06,-5.43772762319e-06,3.15302595042e-11
7.8,2.78685369979e-06,-5.23794189359e-06,2.92511247284e-11
7.82,2.68403160227e-06,-5.04546325234e-06,2.71364009993e-11
7.84,2.58498823035e-06,-4.86002583356e-06,2.51742538536e-11
7.86,2.48958533784e-06,-4.68137338646e-06,2.33536987005e-11
7.88,2.39768971027e-06,-4.50925893006e-06,2.16645399427e-11
7.9,2.30917298291e-06,-4.34344442023e-06,2.00973144458e-11
