case_index,speed_factor,time_s,x_m,y_m,vx_m_s,vy_m_s,radius_m,speed_m_s,specific_energy_J_kg,angular_momentum_m2_s
0,0.7,24291.9556717,23697741.9386,6284447.52398,-1497.26983231,2580.04644144,24516876.9151,2983.02809084,-11809063.7367,70550788449.4
0,0.7,24516.8811872,23344753.4184,6860465.89158,-1642.00271397,2539.58068324,24331944.115,3024.1764101,-11809040.2703,70550788449.4
0,0.7,24741.8067027,22959085.3249,7426880.51254,-1787.89803723,2494.53680527,24130440.3835,3069.08671503,-11809013.5441,70550788449.4
0,0.7,24966.7322182,22540465.6431,7982635.84519,-1935.04916708,2444.66979869,23912236.7511,3117.8238731,-11808983.1879,70550788449.4
0,0.7,25191.6577336,22088601.4621,8526617.74183,-2083.54814543,2389.70176347,23677194.1891,3170.46485435,-11808948.7728,70550788449.4
0,0.7,25416.5832491,21603179.3618,9057645.64717,-2233.48476954,2329.31801407,23425163.8886,3227.10034341,-11808909.803,70550788449.4
0,0.7,25641.5087646,21083866.0359,9574463.85189,-2384.94535578,2263.16251822,23155987.6721,3287.83651265,-11808865.7062,70550788449.4
0,0.7,25866.4342801,20530309.2347,10075731.6392,-2538.01109616,2190.83255069,22869498.5808,3352.79698004,-11808815.8229,70550788449.4
0,0.7,26091.3597956,19942139.1277,10560012.1335,-2692.75588587,2111.87242012,22565521.6924,3422.12498015,-11808759.3953,70550788449.4
0,0.7,26316.285311,19318970.2233,11025759.6247,-2849.24346205,2025.7660979,22243875.2422,3495.98578221,-11808695.5543,70550788449.4
0,0.7,26541.2108265,18660404.0189,11471305.1011,-3007.52364221,1931.92854315,21904372.1405,3574.56939425,-11808623.308,70550788449.4
0,0.7,26766.136342,17966032.6123,11894839.6715,-3167.62738143,1829.69547688,21546822.0078,3658.09359718,-11808541.5309,70550788449.4
0,0.7,26991.0618575,17235443.5757,12294395.4977,-3329.5602732,1718.31130932,21171033.8884,3746.80735675,-11808448.9561,70550788449.4
0,0.7,27215.9873729,16468226.4907,12667823.7855,-3493.29399027,1596.91486903,20776819.8532,3840.99466302,-11808344.1766,70550788449.4
0,0.7,27440.9128884,15663981.6727,13012769.2979,-3658.75498624,1464.52251894,20363999.7703,3940.97884514,-11808225.6592,70550788449.4
0,0.7,27665.8384039,14822331.7881,13326640.7505,-3825.80953563,1320.00817872,19932407.615,4047.12740037,-11808091.7846,70550788449.4
0,0.7,27890.7639194,13942937.3089,13606576.338,-3994.24385484,1162.07970868,19481899.816,4159.85735588,-11807940.9297,70550788449.4
0,0.7,28115.6894349,13025517.0721,13849403.5055,-4163.7375793,989.251063974,19012366.3034,4279.64114113,-11807771.6231,70550788449.4
0,0.7,28340.6149503,12069875.6662,14051591.949,-4333.82822031,799.8096242,18523745.1639,4407.01287474,-11807582.8228,70550788449.4
0,0.7,28565.5404658,11075939.9792,14209198.6896,-4503.86331361,591.778193811,18016042.1243,4542.57484015,-11807374.3956,70550788449.4
0,0.7,28790.4659813,10043808.1113,14317803.9795,-4672.93569651,362.871442527,17489356.5397,4687.00370252,-11807147.9347,70550788449.4
0,0.7,29015.3914968,8973815.03858,14372436.7821,-4839.79557318,110.447176742,16943916.1767,4841.05564614,-11806908.1354,70550788449.4
0,0.7,29240.3170123,7866621.08303,14367488.7559,-5002.73057191,-168.545907728,16380123.9438,5005.56898845,-11806665.0996,70550788449.4
0,0.7,29465.2425277,6723331.5332,14296616.2317,-5159.40166548,-477.619931659,15798620.9076,5181.46179614,-11806438.1815,70550788449.4
0,0.7,29690.1680432,5545658.92469,14152630.9372,-5306.61845566,-820.790484937,15200371.5531,5369.72033295,-11806262.3837,70550788449.4
0,0.7,29915.0935587,4336143.75002,13927382.7859,-5440.03196518,-1202.59368642,14586779.4213,5571.37140719,-11806198.9483,70550788449.4
0,0.7,30140.0190742,3098454.93671,13611642.9275,-5553.7174295,-1628.04695389,13959844.0601,5787.42724972,-11806352.745,70550788449.4
0,0.7,30364.9445896,1837798.23871,13195004.1852,-5639.61597301,-2102.49843331,13322373.5804,6018.78459368,-11806900.3609,70550788449.4
0,0.7,30589.8701051,561467.877044,12665831.8397,-5686.80863055,-2631.26962432,12678270.4802,6266.04917283,-11808134.102,70550788449.4
0,0.7,30814.7956206,-720418.4866,12011324.832,-5680.62315119,-3218.93257227,12032910.164,6529.24239791,-11810526.9809,70550788449.4
0,0.7,31039.7211361,-1993966.304,11217791.7035,-5601.65302395,-3867.97490805,11393627.707,6807.3303497,-11814817.7465,70550788449.4
0,0.7,31264.6466516,-3240327.87449,10271312.3319,-5424.95303238,-4576.51263769,10770310.1977,7097.50542983,-11822092.2157,70550788449.4
0,0.7,31489.572167,-4434387.01852,9159042.77526,-5120.0418073,-5334.6959628,10176043.0811,7394.17399877,-11833777.1482,70550788449.4
0,0.7,31714.4976825,-5543583.96005,7871493.85319,-4652.92702672,-6119.74170568,9627654.88595,7687.71542528,-11851347.1943,70550788449.4
0,0.7,31939.423198,-6527511.03846,6406070.65976,-3991.96080144,-6890.5292108,9145826.46102,7963.36259662,-11875426.9785,70550788449.4
0,0.7,32164.3487135,-7339371.64212,4771782.18386,-3119.05793499,-7584.7533112,8754215.0597,8201.0368365,-11904139.8939,70550788449.4
0,0.7,32389.274229,-7930622.46613,2994061.56316,-2045.0282165,-8123.9333162,8476979.25822,8377.37625586,-11931550.6584,70550788449.4
0,0.7,32614.1997444,-8259329.69365,1117222.40614,-821.894959116,-8430.77484109,8334549.35154,8470.74233731,-11948588.7033,70550788449.4
0,0.7,32839.1252599,-8300352.76083,-798531.190881,459.347528667,-8455.54245014,8338675.4354,8468.01029039,-11948062.85,70550788449.4
0,0.7,33064.0507754,-8052691.73432,-2686512.08236,1691.17205024,-8196.94041208,8489004.14281,8369.58153211,-11930212.1157,70550788449.4
0,0.7,33288.9762909,-7539577.2705,-4485933.28595,2781.78633082,-7702.27274953,8773187.72533,8189.22100682,-11902504.4433,70550788449.4
0,0.7,33513.9018064,-6801302.28549,-6151387.41946,3677.64618202,-7046.90954471,9170456.91135,7948.83737231,-11873933.8193,70550788449.4
0,0.7,33738.8273218,-5885184.34402,-7655992.80971,4365.9638151,-6308.21376245,9656584.31669,7671.71433955,-11850198.3545,70550788449.4
0,0.7,33963.7528373,-4837268.96215,-8989143.884,4862.79986658,-5548.25067195,10208030.1126,7377.66277768,-11832985.6996,70550788449.4
0,0.7,34188.6783528,-3697648.8107,-10151879.0945,5198.08211212,-4808.59276643,10804316.5391,7081.14553145,-11821586.6632,70550788449.4
0,0.7,34413.6038683,-2498906.36501,-11152294.2974,5404.54856605,-4112.86810899,11428832.0102,6791.52628536,-11814512.785,70550788449.4
0,0.7,34638.5293837,-1266407.0664,-12002057.0535,5511.88415402,-3471.90131604,12068685.1137,6514.21259061,-11810352.4934,70550788449.4
0,0.7,34863.4548992,-19379.5958028,-12714132.6838,5544.60237137,-2888.51332013,12714147.4536,6251.8896869,-11808040.5319,70550788449.4
0,0.7,35088.3804147,1227838.02662,-13301457.7485,5521.93289667,-2361.03509012,13358007.5032,6005.51659827,-11806855.3021,70550788449.4
0,0.7,35313.3059302,2464667.61064,-13776246.7533,5458.53283952,-1885.57144115,13994983.424,5775.0290406,-11806335.9184,70550788449.4
0,0.7,35538.2314457,3683364.65199,-14149684.0053,5365.39981499,-1457.34240343,14621242.5125,5559.79874236,-11806197.9993,70550788449.4
0,0.7,35763.1569611,4878298.24892,-14431833.7359,5250.71995004,-1071.42462324,15234028.3177,5358.91880113,-11806269.9243,70550788449.4
0,0.7,35988.0824766,6045406.43479,-14631665.4766,5120.56564734,-723.130065892,15831379.396,5171.37405733,-11806449.8643,70550788449.4
0,0.7,36213.0079921,7181789.98446,-14757134.5416,4979.43724342,-408.176359833,16411920.2794,4996.13882932,-11806678.4139,70550788449.4
0,0.7,36437.9335076,8285411.41233,-14815284.0329,4830.67097028,-122.742733488,16974707.1623,4832.23010645,-11806921.6695,70550788449.4
0,0.7,36662.8590231,9354872.30066,-14812350.4868,4676.74149112,136.533595099,17519114.21,4678.73405927,-11807160.9292,70550788449.4
0,0.7,36887.7845385,10389248.3936,-14753864.2544,4519.48466631,372.58953066,18044749.7245,4534.81693206,-11807386.4745,70550788449.4
0,0.7,37112.710054,11387967.1372,-14644740.7023,4360.26124264,587.97966978,18551394.1728,4399.72705928,-11807593.8322,70550788449.4
0,0.7,37337.6355695,12350716.4089,-14489360.9938,4200.07725287,784.922316233,19038954.2208,4272.7920582,-11807781.5346,70550788449.4
0,0.7,37562.561085,13277376.2195,-14291642.5891,4039.67282801,965.343453612,19507428.5124,4153.41360098,-11807949.783,70550788449.4
0,0.7,37787.4866005,14167967.3953,-14055100.2459,3879.58796981,1130.916678,19956882.0971,4041.06116609,-11808099.6535,70550788449.4
0,0.7,38012.4121159,15022612.8674,-13782898.5556,3720.21148349,1283.09842884,20387427.252,3935.2655641,-11808232.6318,70550788449.4
0,0.7,38237.3376314,15841508.3665,-13477897.0949,3561.81755806,1423.15854081,20799209.0577,3835.61266933,-11808350.3439,70550788449.4
0,0.7,38462.2631469,16624900.168,-13142689.2188,3404.59324549,1552.20646421,21192394.5201,3741.73757428,-11808454.4062,70550788449.4
0,0.7,38687.1886624,17373068.148,-12779635.4167,3248.6592004,1671.2136295,21567164.3537,3653.3192573,-11808546.3454,70550788449.4
0,0.7,38912.1141778,18086312.8585,-12390892.0446,3094.08540267,1781.03245809,21923706.7686,3570.07578292,-11808627.5611,70550788449.4
0,0.7,39137.0396933,18764945.6563,-11978436.1293,2940.90312527,1882.41249658,22262212.7738,3491.76001459,-11808699.3121,70550788449.4
0,0.7,39361.9652088,19409281.1614,-11544086.8423,2789.11407689,1976.01410448,22582872.63,3418.15580028,-11808762.7164,70550788449.4
0,0.7,39586.8907243,20019631.4992,-11089524.1472,2638.69740776,2062.42007155,22885873.1792,3349.07458281,-11808818.7587,70550788449.4
0,0.7,39811.8162398,20596301.9106,-10616305.0469,2489.6150912,2142.14548725,23171395.8415,3284.35238531,-11808868.3015,70550788449.4
0,0.7,40036.7417552,21139587.4147,-10125877.7913,2341.81606449,2215.64613594,23439615.1228,3223.84712411,-11808912.097,70550788449.4
0,0.7,40261.6672707,21649770.2816,-9619594.34836,2195.23941773,2283.32564782,23690697.5134,3167.43620538,-11808950.7995,70550788449.4
0,0.7,40486.5927862,22127118.1299,-9098721.39459,2049.81684911,2345.54159853,23924800.6837,3115.01436679,-11808984.9767,70550788449.4
0,0.7,40711.5183017,22571882.5044,-8564450.04211,1905.47455256,2402.61071831,24142072.9084,3066.49173066,-11809015.1206,70550788449.4
0,0.7,40936.4438172,22984297.8219,-8017904.48597,1762.13466447,2454.81334498,24342652.6638,3021.79204024,-11809041.6565,70550788449.4
0,0.7,41161.3693326,23364580.5999,-7460149.72806,1619.71636685,2502.39723267,24526668.3546,2980.85105618,-11809064.9515,70550788449.4
0,0.7,41386.2948481,23712928.8994,-6892198.51099,1478.13672187,2545.58080919,24694238.1397,2943.61509451,-11809085.3219,70550788449.4
0,0.7,41611.2203636,24029521.9281,-6315017.57666,1337.31129573,2584.55595984,24845469.8303,2910.03969238,-11809103.0388,70550788449.4
0,0.7,41836.1458791,24314519.7645,-5729533.34789,1197.15461704,2619.49040185,24980460.8396,2880.08839143,-11809118.3342,70550788449.4
0,0.7,42061.0713946,24568063.1668,-5136637.11881,1057.58050478,2650.52970314,25099298.1707,2853.73163268,-11809131.405,70550788449.4
0,0.7,42285.99691,24790273.4449,-4537189.82835,918.502293472,2677.79898974,25202058.428,2830.94575939,-11809142.4167,70550788449.4
