time_s,x_m,y_m,vx_m_s,vy_m_s,radius_m,speed_m_s,acceleration_m_s2,specific_energy_J_kg,angular_momentum_m2_s
33064.0507754,10305660.4472,-23312284.0407,3616.1205315,1599.7821557,25488609.7002,3954.1915285,0.613546909103,-7820642.37688,100786840642
33288.9762909,11112743.0603,-22938257.2635,3558.13709328,1724.99053687,25488364.1023,3954.22962495,0.613558733054,-7820642.42278,100786840642
33513.9018064,11906292.0869,-22536295.2693,3495.8186769,1848.10170713,25488122.6403,3954.26708021,0.613570358219,-7820642.4679,100786840642
33738.8273218,12685340.6961,-22106886.8052,3429.24096486,1968.96554869,25487885.6086,3954.30384859,0.61358177041,-7820642.5122,100786840642
33963.7528373,13448939.6704,-21650554.0873,3358.48484242,2087.43466755,25487653.2961,3954.33988525,0.613592955693,-7820642.55563,100786840642
34188.6783528,14196158.565,-21167852.168,3283.6363,2203.3645741,25487425.9863,3954.37514622,0.613603900412,-7820642.59812,100786840642
34413.6038683,14926086.8452,-20659368.2621,3204.78632912,2316.61386042,25487203.9561,3954.4095885,0.613614591203,-7820642.63962,100786840642
34638.5293837,15637834.9991,-20125721.0345,3122.03081231,2427.04437375,25486987.4763,3954.44317005,0.613625015009,-7820642.68009,100786840642
34863.4548992,16330535.6248,-19567559.8484,3035.4704069,2534.52138607,25486776.811,3954.47584992,0.613635159097,-7820642.71948,100786840642
35088.3804147,17003344.4911,-18985563.976,2945.21042287,2638.91375954,25486572.2169,3954.50758822,0.613645011077,-7820642.75774,100786840642
35313.3059302,17655441.5699,-18380441.773,2851.36069501,2740.09410763,25486373.9437,3954.53834622,0.613654558911,-7820642.79481,100786840642
35538.2314457,18286032.0394,-17752929.8168,2754.03544939,2837.93895167,25486182.2332,3954.56808639,0.613663790933,-7820642.83066,100786840642
35763.1569611,18894347.2561,-17103792.0098,2653.35316446,2932.32887262,25485997.3191,3954.59677243,0.61367269586,-7820642.86524,100786840642
35988.0824766,19479645.6959,-16433818.6503,2549.43642677,3023.14865801,25485819.4271,3954.62436933,0.613681262811,-7820642.89851,100786840642
36213.0079921,20041213.8611,-15743825.4693,2442.41178169,3110.28744362,25485648.774,3954.65084341,0.613689481314,-7820642.93043,100786840642
36437.9335076,20578367.1539,-15034652.6372,2332.40957916,3193.63884997,25485485.5681,3954.67616234,0.613697341321,-7820642.96096,100786840642
36662.8590231,21090450.7149,-14307163.7401,2219.56381465,3273.10111327,25485330.0085,3954.70029522,0.613704833225,-7820642.99005,100786840642
36887.7845385,21576840.2242,-13562244.727,2104.01196569,3348.57721075,25485182.2849,3954.72321258,0.613711947864,-7820643.01769,100786840642
37112.710054,22036942.6668,-12800802.8296,1985.89482399,3419.97498017,25485042.5776,3954.74488645,0.61371867654,-7820643.04382,100786840642
37337.6355695,22470197.0582,-12023765.4563,1865.35632342,3487.20723338,25484911.0569,3954.76529037,0.613725011024,-7820643.06843,100786840642
37562.561085,22876075.132,-11232079.0605,1742.54336413,3550.19186382,25484787.8835,3954.78439941,0.613730943569,-7820643.09147,100786840642
37787.4866005,23254081.987,-10426707.9863,1617.6056329,3608.8519477,25484673.2074,3954.80219025,0.61373646692,-7820643.11293,100786840642
38012.4121159,23603756.6936,-9608633.29127,1490.69542006,3663.11583889,25484567.1687,3954.81864116,0.613741574321,-7820643.13277,100786840642
38237.3376314,23924672.8586,-8778851.54963,1361.96743316,3712.91725726,25484469.8968,3954.83373206,0.613746259524,-7820643.15097,100786840642
38462.2631469,24216439.1475,-7938373.63523,1231.57860756,3758.19537049,25484381.5102,3954.84744451,0.613750516798,-7820643.16751,100786840642
38687.1886624,24478699.7649,-7088223.48767,1099.68791428,3798.89486909,25484302.117,3954.85976177,0.613754340934,-7820643.18236,100786840642
38912.1141778,24711134.8895,-6229436.86187,966.456165339,3834.9660347,25484231.8139,3954.87066879,0.613757727255,-7820643.19552,100786840642
