time_s,x_m,y_m,vx_m_s,vy_m_s,radius_m,speed_m_s,acceleration_m_s2,specific_energy_J_kg,angular_momentum_m2_s
13720.4564442,-4284804.23739,55586269.868,-2776.46772918,2617.66235768,55751169.8997,3815.87857118,0.128242535656,130793.241244,143117313712
13945.3819597,-4909053.35291,56171814.5278,-2774.13173771,2589.23642117,56385916.2573,3794.72688647,0.125371488692,130789.809012,143117313712
14170.3074752,-5532750.25961,56751040.5414,-2771.56635527,2561.46766341,57020101.087,3773.94974163,0.122598202017,130786.454113,143117313712
14395.2329906,-6155845.3352,57324093.397,-2768.78853299,2534.33572495,57653673.9122,3753.53799863,0.119918473628,130783.179018,143117313712
14620.1585061,-6778292.63568,57891114.0801,-2765.81406908,2507.82092178,58286587.9983,3733.48272267,0.117328306042,130779.985431,143117313712
14845.0840216,-7400049.64561,58452239.2241,-2762.65769078,2481.90423084,58918800.0987,3713.77518537,0.114823896244,130776.874399,143117313712
15070.0095371,-8021077.04606,59007601.2571,-2759.33313028,2456.56727426,59550270.2185,3694.40686672,0.112401626012,130773.846415,143117313712
15294.9350526,-8641338.49903,59557328.545,-2755.85319504,2431.79230275,60180961.3954,3675.36945576,0.110058052631,130770.9015,143117313712
15519.860568,-9260800.44702,60101545.5315,-2752.22983279,2407.56217829,60810839.4959,3656.65485038,0.107789899999,130768.03928,143117313712
15744.7860835,-9879431.92674,60640372.873,-2748.47419185,2383.86035644,61439873.0254,3638.25515629,0.105594050128,130765.259052,143117313712
15969.711599,-10497204.3958,61173927.5705,-2744.59667697,2360.6708683,62068032.952,3620.16268525,0.103467535035,130762.559836,143117313712
16194.6371145,-11114091.5714,61702323.0969,-2740.60700099,2337.97830242,62695292.5427,3602.36995275,0.101407529018,130759.940428,143117313712
16419.56263,-11730069.2806,62225669.5202,-2736.5142328,2315.76778671,63321627.2104,3584.86967522,0.0994113413068,130757.399439,143117313712
16644.4881454,-12345115.3203,62744073.6232,-2732.32684171,2294.02497043,63947014.3721,3567.65476678,0.0974764090762,130754.935331,143117313712
16869.4136609,-12959209.3273,63257639.0182,-2728.05273866,2272.73600643,64571433.3165,3550.71833575,0.0956002908157,130752.546451,143117313712
17094.3391764,-13572332.6573,63766466.2588,-2723.6993143,2251.88753361,65194865.0807,3534.0536808,0.0937806600374,130750.231054,143117313712
17319.2646919,-14184468.2718,64270652.9468,-2719.27347449,2231.46665976,65817292.3354,3517.65428698,0.0920152993102,130747.987331,143117313712
17544.1902074,-14795600.6332,64770293.8362,-2714.78167307,2211.46094475,66438699.2778,3501.51382157,0.0903020946091,130745.813421,143117313712
17769.1157228,-15405715.6063,65265480.9327,-2710.22994235,2191.85838409,67059071.5319,3485.62612974,0.0886390299617,130743.707436,143117313712
17994.0412383,-16014800.3669,65756303.59,-2705.62392142,2172.64739294,67678396.0553,3469.98523025,0.0870241823818,130741.667469,143117313712
18218.9667538,-16622843.3167,66242848.6024,-2700.96888238,2153.81679063,68296661.0523,3454.58531103,0.0854557170742,130739.691611,143117313712
18443.8922693,-17229834.0033,66725200.2938,-2696.2697548,2135.35578558,68913855.8929,3439.42072472,0.0839318828983,130737.777956,143117313712
18668.8177847,-17835763.0457,67203440.604,-2691.53114835,2117.25396067,69529971.0372,3424.48598427,0.0824510080777,130735.924613,143117313712
18893.7433002,-18440622.0652,67677649.1708,-2686.75737389,2099.50125916,70144997.9645,3409.77575852,0.0810114961419,130734.129712,143117313712
