time_s,x_m,y_m,vx_m_s,vy_m_s,radius_m,speed_m_s,acceleration_m_s2,specific_energy_J_kg,angular_momentum_m2_s
8772.09510368,2319901.73043,16996737.3135,-4895.38942088,-1110.46751954,17154329.5801,5019.75852945,1.35454228579,-10637276.9537,80629472513.6
8997.02061916,1214169.95668,16713015.4553,-4927.55821246,-1420.62817379,16757061.0279,5128.25646252,1.4195293101,-10637632.1077,80629472513.6
9221.94613463,103234.588448,16357666.2649,-4940.18285051,-1747.37794023,16357992.0227,5240.10842087,1.4896357371,-10638081.3728,80629472513.6
9446.87165011,-1008176.39174,15926955.6874,-4930.12070036,-2090.56530428,15958832.5734,5355.04933793,1.56508464215,-10638647.0614,80629472513.6
9671.79716559,-2114585.29136,15417223.3075,-4893.8468623,-2449.62576167,15561563.0791,5472.69618049,1.64601440589,-10639355.2645,80629472513.6
9896.72268107,-3209678.4481,14824989.0131,-4827.46509107,-2823.44656138,15168465.1491,5592.51908271,1.73243436806,-10640235.4897,80629472513.6
10121.6481965,-4286225.43949,14147092.961,-4726.75226326,-3210.20651762,14782150.3092,5713.8089611,1.82416802465,-10641319.5077,80629472513.6
10346.573712,-5336012.82681,13380874.3015,-4587.25146966,-3607.19470385,14405583.2913,5835.64303889,1.92078330004,-10642638.9745,80629472513.6
10571.4992275,-6349805.24237,12524392.7046,-4404.43134002,-4010.61824713,14042095.258,5956.85102661,2.02151159693,-10644221.3326,80629472513.6
10796.424743,-7317350.8059,11576693.5483,-4173.92963175,-4415.41879454,13695380.8391,6075.98647974,2.12516101166,-10646083.5481,80629472513.6
11021.3502585,-8227451.79036,10538112.0077,-3891.89525159,-4815.12933036,13369471.4798,6191.30996781,2.23003453421,-10648223.5454,80629472513.6
11246.2757739,-9068123.89721,9410602.65484,-3555.43200012,-5201.81629947,13068676.8015,6300.79276924,2.3338709134,-10650609.9032,80629472513.6
11471.2012894,-9826866.54112,8198069.58257,-3163.12697863,-5566.16264354,12797486.1163,6402.15111172,2.43383276095,-10653171.539,80629472513.6
11696.1268049,-10491059.8296,6906658.65116,-2715.61633281,-5897.74898631,12560424.7568,6492.92038859,2.52657046122,-10655790.5847,80629472513.6
11921.0523204,-11048489.3481,5544961.12074,-2216.10486579,-6185.57479127,12361865.1791,6570.57503378,2.60838720547,-10658302.8316,80629472513.6
12145.9778359,-11487976.8882,4124071.45424,-1670.72462897,-6418.82252037,12205801.0119,6632.69201259,2.67551565122,-10660509.9762,80629472513.6
12370.9033513,-11800066.5449,2657447.19242,-1088.60737686,-6587.80656875,12095602.3432,6677.14470476,2.72448904454,-10662205.367,80629472513.6
12595.8288668,-11977688.039,1160539.87754,-481.573340975,-6684.97853566,12033780.103,6702.30191091,2.75255448541,-10663209.9463,80629472513.6
12820.7543823,-12016702.8088,-349797.293776,136.589785019,-6705.80732988,12021792.9005,6707.19827609,2.75804649121,-10663409.3698,80629472513.6
13045.6798978,-11916242.9834,-1856074.46321,751.182753715,-6649.34589684,12059927.8295,6691.64227864,2.74063152555,-10662780.2126,80629472513.6
13270.6054133,-11678782.4726,-3341012.40066,1347.81478776,-6518.35127268,12147276.3986,6656.2382782,2.70135860025,-10661395.5609,80629472513.6
13495.5309287,-11309927.1116,-4788361.50337,1913.56643515,-6318.92884512,12281810.0114,6602.31764242,2.6425019528,-10659407.8133,80629472513.6
13720.4564442,-10817962.639,-6183589.05619,2437.89197452,-6059.7870937,12460541.2914,6531.7943094,2.56723869135,-10657015.2682,80629472513.6
13945.3819597,-10213238.8934,-7514362.97486,2913.13617596,-5751.27151191,12679743.673,6446.97497927,2.4792431301,-10654424.201,80629472513.6
14170.3074752,-9507485.32689,-8770804.47514,3334.64378438,-5404.36951727,12935195.7226,6350.35897,2.38228687472,-10651817.4679,80629472513.6
14395.2329906,-8713145.94917,-9945524.17388,3700.52911032,-5029.84467911,13222418.9702,6244.4577981,2.27991280786,-10649335.765,80629472513.6
14620.1585061,-7842798.49153,-11033485.2896,4011.22245592,-4637.59314895,13536886.1196,6131.65359475,2.17521663597,-10647071.9835,80629472513.6
14845.0840216,-6908693.39197,-12031750.2331,4268.9167349,-4236.24713572,13874186.753,6014.10341485,2.07073724438,-10645075.3025,80629472513.6
15070.0095371,-5922421.89726,-12939165.431,4477.0144577,-3832.99977648,14230146.9838,5893.68693951,1.96843598111,-10643360.4688,80629472513.6
15294.9350526,-4894703.82256,-13756029.1342,4639.63981076,-3433.59939922,14600906.2408,5771.98946707,1.86973665633,-10641918.41,80629472513.6
15519.860568,-3835275.14511,-14483773.6606,4761.24665355,-3042.45541705,14982958.1489,5650.31013845,1.77559917255,-10640725.7612,80629472513.6
15744.7860835,-2752852.10682,-15124680.8402,4846.32795961,-2662.80519007,15373163.8006,5529.68590178,1.68660567631,-10639752.2428,80629472513.6
15969.711599,-1655149.51612,-15681639.3206,4899.21696563,-2296.90373471,15768745.4067,5410.92354805,1.60304525932,-10638965.7483,80629472513.6
16194.6371145,-548934.303942,-16157945.3533,4923.9633347,-1946.21108977,16167267.1441,5294.6343148,1.52498944475,-10638335.4815,80629472513.6
16419.56263,559900.46639,-16557144.3858,4924.26625215,-1611.56289673,16566608.5469,5181.26751791,1.45235520673,-10637833.6348,80629472513.6
16644.4881454,1666251.9463,-16882908.5838,4903.44806291,-1293.31754597,16964934.3588,5071.14121085,1.38495511832,-10637436.082,80629472513.6
16869.4136609,2765721.63274,-17138944.6172,4864.45503764,-991.47829523,17360663.5456,4964.46895681,1.32253576684,-10637122.4636,80629472513.6
17094.3391764,3854532.06003,-17328926.1171,4809.87503989,-705.791687007,17752439.2063,4861.38249934,1.26480623748,-10636875.9362,80629472513.6
17319.2646919,4929448.87821,-17456445.7353,4741.96471443,-435.825029425,18139100.4174,4761.95052569,1.21145859845,-10636682.7642,80629472513.6
17544.1902074,5987709.77558,-17524982.4559,4662.68112354,-181.026204434,18519656.5421,4666.19392508,1.16218217587,-10636531.8632,80629472513.6
17769.1157228,7026960.78866,-17537880.56,4573.7145103,59.2309718268,18893264.2087,4574.09802363,1.11667314278,-10636414.3565,80629472513.6
17994.0412383,8045199.96335,-17498337.3422,4476.5201345,285.612923435,19259206.946,4485.62228198,1.07464065684,-10636323.1745,80629472513.6
18218.9667538,9040727.98627,-17409397.2919,4372.34800731,498.801530442,19616877.3404,4400.70790485,1.03581051091,-10636252.7086,80629472513.6
18443.8922693,10012105.2221,-17273950.9595,4262.26994056,699.476326804,19965761.5114,4319.28375752,0.999927030054,-10636198.5218,80629472513.6
18668.8177847,10958114.5133,-17094737.1452,4147.20370537,888.302022312,20305425.6726,4241.2709247,0.966753761046,-10636157.1103,80629472513.6
18893.7433002,11877729.0846,-16874347.3789,4027.93432856,1065.92003773,20635504.5412,4166.5861904,0.936073354194,-10636125.7104,80629472513.6
19118.6688157,12770084.9236,-16615231.9173,3905.13268887,1232.94303167,20955691.3658,4095.14466619,0.907686925241,-10636102.1437,80629472513.6
19343.5943312,13634457.0507,-16319706.685,3779.37164413,1389.9516319,21265729.3633,4026.86175123,0.881413101586,-10636084.6938,80629472513.6
19568.5198467,14470239.1541,-15989960.7427,3651.13994786,1537.49277012,21565404.372,3961.65457064,0.857086895222,-10636072.0089,80629472513.6
19793.4453621,15276926.1204,-15628063.9773,3520.85421586,1676.07916485,21854538.5531,3899.44300846,0.83455849995,-10636063.0238,80629472513.6
20018.3708776,16054099.0529,-15235974.8024,3388.86919109,1806.18961013,22132984.9903,3840.15042701,0.813692078084,-10636056.8999,80629472513.6
20243.2963931,16801412.4198,-14815547.7191,3255.48653473,1928.26981447,22400623.0609,3783.70414477,0.794364578865,-10636052.9765,80629472513.6
20468.2219086,17518583.0268,-14368540.6384,3120.96234802,2042.73360068,22657354.4648,3730.03572919,0.776464614673,-10636050.7335,80629472513.6
20693.1474241,18205380.5497,-13896621.9028,2985.51360564,2149.9643275,22903099.8179,3679.08114873,0.759891409878,-10636049.7617,80629472513.6
20918.0729395,18861619.4003,-13401376.9691,2849.32365812,2250.31643165,23137795.7263,3630.7808184,0.744553829531,-10636049.7393,80629472513.6
21142.998455,19487151.7348,-12884314.7361,2712.54693969,2344.11701761,23361392.2734,3585.07956568,0.730369489962,-10636050.4134,80629472513.6
21367.9239705,20081861.4376,-12346873.5121,2575.31299896,2431.66744343,23573850.859,3541.92653764,0.717263950046,-10636051.5859,80629472513.6
21592.849486,20645658.9424,-11790426.6297,2437.72995275,2513.24486699,23775142.3398,3501.27506546,0.705169979803,-10636053.1015,80629472513.6
21817.7750015,21178476.7701,-11216287.7176,2299.887449,2589.10372841,23965245.4288,3463.08249895,0.694026901825,-10636054.8392,80629472513.6
22042.7005169,21680265.6824,-10625715.6482,2161.85921162,2659.47715328,24144145.3172,3427.31002095,0.68378000039,-10636056.7046,80629472513.6
22267.6260324,22150991.3652,-10019919.1784,2023.7052298,2724.57826718,24311832.4855,3393.92244919,0.674379992947,-10636058.6246,80629472513.6
22492.5515479,22590631.5664,-9400061.30579,1885.47364449,2784.60141674,24468301.6804,3362.88803176,0.665782558703,-10636060.5428,80629472513.6
22717.4770634,22999173.628,-8767263.36028,1747.20237709,2839.72329555,24613551.0319,3334.17824086,0.657947919257,-10636062.416,80629472513.6
22942.4025788,23376612.357,-8122608.85365,1608.92053898,2890.10397516,24747581.2935,3307.76756862,0.650840466562,-10636064.2114,80629472513.6
23167.3280943,23722948.1912,-7467147.10748,1470.64965429,2935.88784328,24870395.188,3283.63332819,0.644428433879,-10636065.9039,80629472513.6
23392.2536098,24038185.6202,-6801896.68057,1332.40472411,2977.20445187,24981996.845,3261.75546249,0.638683605746,-10636067.4752,80629472513.6
23617.1791253,24322331.83,-6127848.61543,1194.19515598,3014.16927838,25082391.3194,3242.1163627,0.633581063445,-10636068.9113,80629472513.6
23842.1046408,24575395.5423,-5445969.52321,1056.02557929,3046.88440372,25171584.1795,3224.70069832,0.629098962794,-10636070.2024,80629472513.6
24067.0301562,24797386.0256,-4757204.52521,917.896564352,3075.43911061,25249581.1568,3209.49526031,0.62521834149,-10636071.3412,80629472513.6
24291.9556717,24988312.2581,-4062480.06866,779.805260538,3099.91040552,25316387.8509,3196.48881847,0.62192295358,-10636072.3229,80629472513.6
24516.8811872,25148182.226,-3362706.63341,641.745966994,3120.36346756,25372009.4823,3185.67199439,0.619199128972,-10636073.1438,80629472513.6
24741.8067027,25277002.3429,-2658781.34581,503.710647714,3136.85202715,25416450.6902,3177.03715069,0.617035656213,-10636073.8018,80629472513.6
24966.7322182,25374776.9801,-1951590.51504,365.689401568,3149.418677,25449715.3683,3170.57829764,0.615423687041,-10636074.2954,80629472513.6
25191.6577336,25441508.0972,-1242012.10704,227.670896723,3158.09511749,25471806.5385,3166.29101763,0.614356661515,-10636074.6236,80629472513.6
25416.5832491,25477194.9677,-530918.170571,89.6427781458,3162.90233818,25482726.2578,3164.17240816,0.613830252776,-10636074.786,80629472513.6
25641.5087646,25481833.9934,180822.770606,-48.4079438018,3163.8507368,25482475.5576,3164.22104376,0.613842330734,-10636074.7822,80629472513.6
25866.4342801,25455418.6043,892343.345175,-186.494516047,3160.94017639,25471054.4141,3166.43695709,0.614392944226,-10636074.6124,80629472513.6
26091.3597956,25397939.2431,1602774.96775,-324.630069428,3154.15998116,25448461.7491,3170.82163938,0.615484321433,-10636074.2768,80629472513.6
26316.285311,25309383.4329,2311245.46451,-462.827241974,3143.48887086,25414695.4605,3177.37806015,0.617120888532,-10636073.7758,80629472513.6
26541.2108265,25189735.9311,3016876.67711,-601.097791491,3128.89483325,25369752.4853,3186.11070624,0.619309306852,-10636073.1104,80629472513.6
26766.136342,25038978.9717,3718782.031,-739.452189842,3110.33493359,25313628.8931,3197.02563959,0.622058528976,-10636072.2822,80629472513.6
26991.0618575,24857092.6012,4416064.05361,-877.899190889,3087.75505991,25246320.0152,3210.13057357,0.625379874517,-10636071.2934,80629472513.6
27215.9873729,24644055.1156,5107811.82805,-1016.44536342,3061.08960193,25167820.6091,3225.43496723,0.629287126508,-10636070.1476,80629472513.6
27440.9128884,24399843.6065,5793098.3669,-1155.09457956,3030.26106164,25078125.0637,3242.95013675,0.633796649638,-10636068.8499,80629472513.6
27665.8384039,24124434.6281,6470977.8907,-1293.8474482,2995.17959265,24977227.6482,3262.68938323,0.638927531828,-10636067.4074,80629472513.6
27890.7639194,23817804.9981,7140482.99455,-1432.70068142,2955.74246524,24865122.8093,3284.66813596,0.644701750925,-10636065.8305,80629472513.6
28115.6894349,23479932.7495,7800621.68593,-1571.64638058,2911.83345386,24741805.5245,3308.90410992,0.651144368637,-10636064.1328,80629472513.6
28340.6149503,23110798.2535,8450374.27575,-1710.67122648,2863.32214324,24607271.7162,3335.41747628,0.65828375412,-10636062.3334,80629472513.6
28565.5404658,22710385.5347,9088690.10403,-1849.7555559,2810.06314932,24461518.7374,3364.23104434,0.666151840046,-10636060.4574,80629472513.6
28790.4659813,22278683.8096,9714484.08053,-1988.87230368,2751.89525131,24304545.9377,3395.37045321,0.674784414295,-10636058.538,80629472513.6
29015.3914968,21815689.2784,10326633.0199,-2127.98578646,2688.64043105,24136355.3218,3428.86437102,0.684221450853,-10636056.6192,80629472513.6
29240.3170123,21321407.2097,10923971.7503,-2267.05029977,2620.10281652,23956952.3146,3464.74469923,0.694507483872,-10636054.7578,80629472513.6
29465.2425277,20795854.3638,11505288.9731,-2406.00849576,2546.06752729,23766346.6498,3503.0467789,0.705692029267,-10636053.028,80629472513.6
29690.1680432,20239061.8074,12069322.8524,-2544.78950265,2466.29942088,23564553.4004,3543.80959509,0.717830058589,-10636051.5249,80629472513.6
29915.0935587,19651078.1825,12614756.3103,-2683.30674082,2380.54174116,23351594.1748,3587.07597449,0.730982530221,-10636050.3712,80629472513.6
