case_id,iteration,lo_rad,hi_rad,mid_rad,ratio_mid,target_ratio,residual,bracket_width_rad
before-bottom,17,2.411993041313913,2.412088915113154,2.412040978213533,1.000018441259449,1,1.844125944927555e-05,9.587379924091977e-05
before-bottom,18,2.411993041313913,2.412040978213533,2.412017009763723,1.000003625791751,1,3.625791751060703e-06,4.793689962045988e-05
before-bottom,19,2.411993041313913,2.412017009763723,2.412005025538818,0.9999962181304752,1,-3.781869524766002e-06,2.396844981022994e-05
before-bottom,20,2.412005025538818,2.412017009763723,2.41201101765127,0.9999999219550654,1,-7.804493462604256e-08,1.198422490533702e-05
before-bottom,21,2.41201101765127,2.412017009763723,2.412014013707497,1.000001773871896,1,1.77387189603806e-06,5.992112452890552e-06
before-bottom,22,2.41201101765127,2.412014013707497,2.412012515679383,1.000000847913103,1,8.47913102841602e-07,2.996056226223232e-06
before-bottom,23,2.41201101765127,2.412012515679383,2.412011766665327,1.00000038493399,1,3.849339895722892e-07,1.498028113111616e-06
before-bottom,24,2.41201101765127,2.412011766665327,2.412011392158298,1.000000153444504,1,1.534445037698617e-07,7.490140565558079e-07
before-bottom,25,2.41201101765127,2.412011392158298,2.412011204904784,1.000000037699779,1,3.769977863221641e-08,3.745070280558593e-07
before-bottom,26,2.41201101765127,2.412011204904784,2.412011111278027,0.9999999798274205,1,-2.017257949571416e-08,1.872535140279297e-07
before-bottom,27,2.412011111278027,2.412011204904784,2.412011158091406,1.000000008763599,1,8.763599179673065e-09,9.362675701396483e-08
before-bottom,28,2.412011111278027,2.412011158091406,2.412011134684716,0.9999999942955098,1,-5.704490213531699e-09,4.681337850698242e-08
before-bottom,29,2.412011134684716,2.412011158091406,2.412011146388061,1.000000001529554,1,1.529554483070683e-09,2.340668947553581e-08
before-bottom,30,2.412011134684716,2.412011146388061,2.412011140536389,0.9999999979125321,1,-2.087467865230508e-09,1.170334495981251e-08
before-bottom,31,2.412011140536389,2.412011146388061,2.412011143462225,0.9999999997210433,1,-2.789567465910636e-10,5.851672479906256e-09
before-bottom,32,2.412011143462225,2.412011146388061,2.412011144925143,1.000000000625299,1,6.25298701706356e-10,2.925836461997733e-09
before-bottom,33,2.412011143462225,2.412011144925143,2.412011144193684,1.000000000173171,1,1.731712551134024e-10,1.462918230998866e-09
before-bottom,34,2.412011143462225,2.412011144193684,2.412011143827955,0.9999999999471072,1,-5.289280124998186e-11,7.314593375440381e-10
before-bottom,35,2.412011143827955,2.412011144193684,2.412011144010819,1.000000000060139,1,6.013922693171025e-11,3.657296687720191e-10
before-bottom,36,2.412011143827955,2.412011144010819,2.412011143919387,1.000000000003623,1,3.623323863166661e-12,1.828648343860095e-10
before-bottom,37,2.412011143827955,2.412011143919387,2.412011143873671,0.9999999999753653,1,-2.46347386934076e-11,9.143263923760969e-11
before-bottom,38,2.412011143873671,2.412011143919387,2.412011143896529,0.9999999999894944,1,-1.050559639281801e-11,4.571631961880485e-11
before-bottom,39,2.412011143896529,2.412011143919387,2.412011143907958,0.9999999999965589,1,-3.441136264825673e-12,2.285815980940242e-11
before-bottom,40,2.412011143907958,2.412011143919387,2.412011143913673,1.000000000000091,1,9.103828801926284e-14,1.142907990470121e-11
before-bottom,41,2.412011143907958,2.412011143913673,2.412011143910815,0.9999999999983249,1,-1.675104499554436e-12,5.714539952350606e-12
before-bottom,42,2.412011143910815,2.412011143913673,2.412011143912244,0.999999999999208,1,-7.920331057675867e-13,2.857269976175303e-12
before-bottom,43,2.412011143912244,2.412011143913673,2.412011143912959,0.9999999999996496,1,-3.503863865716994e-13,1.428634988087651e-12
before-bottom,44,2.412011143912959,2.412011143913673,2.412011143913316,0.9999999999998703,1,-1.296740492762183e-13,7.140954494389007e-13
before-bottom,45,2.412011143913316,2.412011143913673,2.412011143913494,0.9999999999999808,1,-1.920685832601521e-14,3.570477247194503e-13
at-bottom,1,1e-12,6.283185307079586,3.141592653540293,1.570796326745397,1.570796326794897,-4.949995968672738e-11,6.283185307078586
at-bottom,2,3.141592653540293,6.283185307079586,4.71238898030994,5.712388979882937,1.570796326794897,4.141592653088041,3.141592653539293
at-bottom,3,3.141592653540293,4.71238898030994,3.926990816925116,2.71459152351764,1.570796326794897,1.143795196722743,1.570796326769647
at-bottom,4,3.141592653540293,3.926990816925116,3.534291735232705,2.035977357890918,1.570796326794897,0.4651810310960216,0.7853981633848233
